Regressor,Method,,Heteroscedastic,Outliers,Norm,Uniform+,Uniform-,Uniform+-
Knn-1,intersection_union_all,sigma,-0.01,0.12,0.13,0.03,0.17,-0.96
Knn-5,intersection_union_all,sigma,-0.15,0.19,0.31,0.33,0.45,-0.96
Knn-1,ratio-signed,sigma,-0.09,0.06,0.07,0.11,0.14,-0.94
Knn-1,ratio,sigma,0.02,0.01,-0.02,0.10,0.16,-0.92
Knn-1,intersection_union_sample,sigma,0.13,-0.05,0.10,0.21,0.25,-0.92
Knn-5,intersection_union_sample,sigma,-0.10,0.28,0.21,0.44,0.38,-0.91
Knn-5,ratio,sigma,-0.07,0.21,0.25,0.35,0.23,-0.89
Knn-5,ratio-signed,sigma,0.02,0.18,0.28,0.44,0.50,-0.89
LinReg,ratio-signed,sigma,0.08,-0.14,0.03,0.10,0.09,-0.80
LinReg,intersection_union_sample,sigma,-0.03,0.14,-0.07,0.01,-0.04,-0.79
LinReg,ratio,sigma,0.03,0.25,-0.06,0.15,-0.05,-0.76
LinReg,intersection_union_all,sigma,-0.05,0.26,-0.04,0.04,-0.11,-0.75
Knn-1,intersection_union_distance,R2,-0.91,-0.82,-0.97,-0.97,-0.95,-0.57
Knn-1,intersection_union_all,MSqE,-0.18,-0.17,0.09,0.02,0.16,-0.45
Knn-1,ratio,MSqE,-0.21,-0.09,0.01,0.10,0.18,-0.44
Knn-1,ratio-diff,R2,-0.03,-0.18,0.08,0.09,0.00,-0.43
Knn-1,ratio,MAE,-0.18,-0.04,0.01,0.13,0.16,-0.37
Knn-5,intersection_union_sample,MSqE,-0.30,-0.06,0.21,0.32,0.34,-0.36
Knn-5,intersection_union_all,MSqE,-0.39,-0.29,0.26,0.25,0.37,-0.35
Knn-1,intersection_union_all,MAE,-0.36,-0.16,0.16,0.08,0.20,-0.34
Knn-1,ratio-signed,MSqE,-0.31,-0.09,0.07,0.17,0.05,-0.32
Knn-1,intersection_union_sample,MSqE,-0.26,-0.18,0.10,0.21,0.26,-0.32
LinReg,ratio,MSqE,-0.32,-0.29,-0.07,0.20,-0.02,-0.31
LinReg,intersection_union_distance,R2,-0.80,-0.81,-0.79,-0.86,-0.81,-0.28
Knn-1,ratio-diff-signed,R2,0.07,0.02,-0.03,0.01,-0.07,-0.28
Knn-5,ratio-signed,MSqE,-0.50,-0.20,0.28,0.35,0.40,-0.28
Knn-5,intersection_union_distance,R2,-0.94,-0.81,-0.98,-0.96,-0.95,-0.27
Knn-5,ratio-diff-signed,R2,0.20,0.23,0.02,0.14,0.06,-0.27
Knn-5,intersection_union_all,MAE,-0.56,-0.32,0.35,0.35,0.48,-0.27
Knn-5,intersection_union_sample,MAE,-0.46,-0.04,0.26,0.46,0.42,-0.26
Knn-5,ratio,MSqE,-0.37,-0.26,0.19,0.26,0.17,-0.23
Knn-1,intersection_union_sample,MAE,-0.37,-0.19,0.14,0.23,0.30,-0.22
LinReg,intersection_union_all,MSqE,-0.20,-0.30,-0.03,0.04,-0.12,-0.19
Knn-1,ratio-signed,MAE,-0.41,-0.04,0.10,0.15,0.16,-0.18
LinReg,ratio,MAE,-0.47,-0.38,-0.05,0.18,-0.04,-0.17
Knn-5,ratio-signed,MAE,-0.64,-0.22,0.32,0.47,0.53,-0.16
LinReg,ratio-signed,MSqE,-0.07,-0.10,0.06,0.11,0.13,-0.15
LinReg,intersection_union_all,MAE,-0.33,-0.39,-0.05,0.06,-0.11,-0.14
LinReg,intersection_union_sample,MSqE,-0.29,-0.18,-0.10,0.07,0.02,-0.14
Knn-5,ratio,MAE,-0.52,-0.30,0.29,0.37,0.27,-0.07
LinReg,intersection_union_sample,MAE,-0.42,-0.29,-0.06,0.04,-0.01,-0.05
LinReg,ratio-signed,MAE,-0.21,-0.07,0.07,0.12,0.11,-0.05
Knn-5,ratio-diff,R2,-0.42,-0.62,0.25,0.31,0.34,-0.05
LinReg,intersection_union_sample,R2,0.29,0.17,0.05,-0.06,-0.02,-0.02
LinReg,intersection_union_all,R2,0.20,0.35,0.06,-0.02,0.08,-0.02
LinReg,ratio-diff-signed,R2,-0.43,-0.24,0.07,0.10,0.05,-0.01
