,,Heteroscedastic,Heteroscedastic,Heteroscedastic,Heteroscedastic,Heteroscedastic,Heteroscedastic,Heteroscedastic,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Outliers,Outliers,Outliers,Outliers,Outliers,Outliers,Outliers,Uniform+,Uniform+,Uniform+,Uniform+,Uniform+,Uniform+,Uniform+,Uniform+-,Uniform+-,Uniform+-,Uniform+-,Uniform+-,Uniform+-,Uniform+-,Uniform-,Uniform-,Uniform-,Uniform-,Uniform-,Uniform-,Uniform-
Method,,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed
,Regressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,Knn-1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
count,Knn-5,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
count,LinReg,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
mean,Knn-1,0.24,63.43,0.38,0.82,0.15,0.01,0.68,0.27,68.21,0.39,0.82,0.14,0.03,0.73,0.38,272.98,0.39,0.82,0.14,0.03,0.73,0.26,19.23,0.38,0.82,0.14,0.03,0.73,0.30,73.79,0.43,0.90,0.07,0.04,0.87,0.26,20.42,0.39,0.82,0.14,0.03,0.73
mean,Knn-5,0.22,31.31,0.27,0.60,0.30,0.11,0.45,0.27,51.05,0.33,0.71,0.21,0.12,0.64,0.49,265.65,0.35,0.70,0.22,0.12,0.63,0.28,14.45,0.34,0.72,0.20,0.12,0.66,0.32,71.08,0.43,0.88,0.08,0.06,0.86,0.27,15.55,0.35,0.72,0.20,0.12,0.66
mean,LinReg,0.27,8.46,0.33,0.69,0.23,0.12,0.64,0.32,40.99,0.45,0.90,0.06,0.05,0.89,0.61,152.38,0.60,0.69,0.23,0.11,0.63,0.33,13.31,0.45,0.92,0.05,0.04,0.92,0.32,68.12,0.48,0.96,0.03,0.02,0.95,0.32,13.23,0.46,0.92,0.05,0.04,0.91
std,Knn-1,0.04,72.63,0.04,0.01,0.01,0.01,0.02,0.04,38.07,0.04,0.01,0.01,0.01,0.01,0.15,300.79,0.03,0.01,0.01,0.01,0.01,0.05,10.59,0.03,0.01,0.01,0.01,0.01,0.06,11.27,0.06,0.03,0.03,0.01,0.05,0.04,11.64,0.04,0.01,0.01,0.01,0.02
std,Knn-5,0.06,32.12,0.04,0.04,0.03,0.01,0.07,0.04,27.41,0.04,0.02,0.02,0.01,0.02,0.10,248.07,0.04,0.02,0.01,0.01,0.04,0.04,8.68,0.04,0.02,0.03,0.01,0.03,0.06,12.07,0.07,0.05,0.03,0.02,0.06,0.04,8.68,0.04,0.02,0.02,0.01,0.05
std,LinReg,0.15,8.63,0.15,0.13,0.10,0.04,0.18,0.05,25.07,0.05,0.02,0.02,0.01,0.03,0.09,102.28,0.07,0.03,0.03,0.05,0.04,0.05,7.73,0.04,0.02,0.02,0.01,0.02,0.06,11.88,0.07,0.03,0.02,0.01,0.03,0.05,7.74,0.05,0.02,0.02,0.01,0.03
min,Knn-1,0.12,6.27,0.30,0.79,0.13,-0.03,0.63,0.18,2.22,0.30,0.80,0.12,0.00,0.69,0.17,3.24,0.31,0.80,0.12,-0.01,0.69,0.16,0.34,0.27,0.80,0.12,-0.01,0.70,0.19,51.05,0.28,0.83,0.02,0.01,0.77,0.15,0.67,0.27,0.80,0.12,-0.01,0.70
min,Knn-5,0.08,4.43,0.17,0.55,0.18,0.08,0.32,0.18,1.23,0.22,0.65,0.18,0.10,0.57,0.18,15.25,0.26,0.64,0.19,0.09,0.40,0.17,0.31,0.21,0.55,0.17,0.09,0.52,0.16,40.80,0.25,0.79,0.02,0.01,0.75,0.17,1.01,0.23,0.61,0.17,0.08,0.43
min,LinReg,0.01,2.91,0.01,0.45,0.06,0.04,0.12,0.17,0.43,0.32,0.82,0.04,0.03,0.74,0.41,25.82,0.43,0.61,0.14,-0.01,0.56,0.18,0.05,0.34,0.82,0.03,0.03,0.84,0.16,39.55,0.30,0.87,0.00,0.00,0.88,0.20,0.03,0.35,0.84,0.03,0.02,0.82
