,sigma,n_train,n_test,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,MAE,MAE_sd,MSqE,MSqE_sd,R2,R2_sd
0.00,0.62,784.00,135.00,LinReg,ratio,5.00,50.00,0.62,0.12,0.13,11.90,2.65,187.39,74.40,0.94,0.02
1.00,1.70,439.00,101.00,LinReg,ratio,5.00,50.00,0.61,0.14,0.11,12.74,3.02,243.62,112.10,0.93,0.03
2.00,2.75,574.00,131.00,LinReg,ratio,5.00,50.00,0.57,0.10,0.13,14.15,4.21,277.52,149.80,0.91,0.05
3.00,2.86,933.00,197.00,LinReg,ratio,5.00,50.00,0.54,0.10,0.12,8.43,2.37,111.53,60.21,0.97,0.02
4.00,3.69,797.00,124.00,LinReg,ratio,5.00,50.00,0.73,0.16,0.09,4.07,0.17,25.97,2.24,0.99,0.00
5.00,4.14,114.00,178.00,LinReg,ratio,5.00,50.00,0.45,0.03,0.11,9.02,3.77,137.98,117.15,0.96,0.03
6.00,4.21,886.00,162.00,LinReg,ratio,5.00,50.00,0.71,0.16,0.09,4.25,0.25,29.68,2.92,0.99,0.00
7.00,8.95,351.00,186.00,LinReg,ratio,5.00,50.00,0.53,0.11,0.11,5.59,1.37,50.88,25.24,0.98,0.01
8.00,9.47,474.00,185.00,LinReg,ratio,5.00,50.00,0.78,0.17,0.07,4.20,0.08,27.04,0.70,0.99,0.00
9.00,9.52,849.00,193.00,LinReg,ratio,5.00,50.00,0.89,0.12,0.04,4.02,0.01,25.73,0.11,0.99,0.00
10.00,10.89,963.00,162.00,LinReg,ratio,5.00,50.00,0.91,0.12,0.04,4.24,0.02,28.18,0.14,0.99,0.00
11.00,12.30,134.00,107.00,LinReg,ratio,5.00,50.00,0.72,0.18,0.09,4.32,0.13,30.14,2.04,0.99,0.00
12.00,14.39,761.00,102.00,LinReg,ratio,5.00,50.00,0.62,0.13,0.12,11.24,2.56,183.01,77.23,0.94,0.03
13.00,15.17,425.00,158.00,LinReg,ratio,5.00,50.00,0.86,0.15,0.05,3.93,0.03,24.53,0.33,0.99,0.00
14.00,15.70,558.00,174.00,LinReg,ratio,5.00,50.00,0.60,0.14,0.11,4.03,0.26,26.23,3.45,0.99,0.00
15.00,18.32,101.00,103.00,LinReg,ratio,5.00,50.00,0.66,0.14,0.12,44.02,9.63,"2,778.11","1,202.80",0.07,0.40
16.00,18.44,800.00,171.00,LinReg,ratio,5.00,50.00,0.79,0.16,0.07,4.96,0.16,37.65,2.78,0.99,0.00
17.00,19.54,146.00,193.00,LinReg,ratio,5.00,50.00,0.82,0.15,0.07,4.34,0.02,28.75,0.28,0.99,0.00
18.00,20.07,343.00,154.00,LinReg,ratio,5.00,50.00,0.87,0.14,0.05,4.23,0.01,26.05,0.17,0.99,0.00
19.00,20.99,953.00,146.00,LinReg,ratio,5.00,50.00,0.74,0.16,0.09,6.04,0.41,55.87,7.51,0.98,0.00
20.00,22.75,810.00,195.00,LinReg,ratio,5.00,50.00,0.62,0.14,0.11,6.06,0.96,54.64,15.42,0.98,0.01
21.00,23.82,915.00,120.00,LinReg,ratio,5.00,50.00,0.87,0.14,0.05,3.88,0.03,24.62,0.26,0.99,0.00
22.00,24.31,538.00,167.00,LinReg,ratio,5.00,50.00,0.73,0.16,0.09,5.06,0.34,39.03,4.90,0.99,0.00
23.00,24.32,379.00,137.00,LinReg,ratio,5.00,50.00,0.49,0.08,0.10,5.99,1.42,56.94,29.05,0.98,0.01
24.00,25.12,700.00,147.00,LinReg,ratio,5.00,50.00,0.55,0.11,0.13,11.55,3.74,203.55,130.93,0.94,0.04
25.00,25.19,216.00,189.00,LinReg,ratio,5.00,50.00,0.70,0.16,0.10,5.29,0.46,42.80,6.57,0.99,0.00
26.00,25.89,445.00,115.00,LinReg,ratio,5.00,50.00,0.64,0.16,0.10,4.21,0.38,28.14,5.10,0.99,0.00
27.00,26.95,227.00,166.00,LinReg,ratio,5.00,50.00,0.68,0.17,0.09,4.50,0.31,31.98,4.04,0.99,0.00
