,sigma,n_train,n_test,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,MAE,MAE_sd,MSqE,MSqE_sd,R2,R2_sd
0,0.354303597685257,950,111,LinReg,ratio,5,25,0.9404955865910688,0.08749979582205535,0.02661442628580629,0.08996497079639106,0.0004531185939414157,0.010578135834066683,0.00010672931646322469,0.9999971871333768,2.83807408682691e-08
1,0.6798219983413011,892,196,LinReg,ratio,5,25,0.9369577252249418,0.09382500262070391,0.026241744676129747,0.16813756253242937,0.0006253351746543211,0.03712806724716484,0.00021714884186552528,0.9999882357233637,6.880506410182122e-08
2,2.988587333964865,905,112,LinReg,ratio,5,25,0.9274486673183401,0.10080970773302643,0.031884232347048465,0.6804568444575163,0.0029075370503096167,0.6431875967056725,0.004807149100016903,0.9998405649630072,1.1916087911462449e-06
3,3.1394262855469424,776,147,LinReg,ratio,5,25,0.9246376569893152,0.1043193436754322,0.03339646205903185,0.7412396113795567,0.0017051305307147857,0.7529707940145417,0.003660924397441377,0.9997725288434363,1.105958841163993e-06
4,3.3360194529577614,733,110,LinReg,ratio,5,25,0.9210319221718176,0.12241544146627846,0.03056133960585856,0.8162964599841713,0.0009724671342988504,0.9323653659972491,0.0026900511540930558,0.999740450340945,7.48850059590051e-07
5,3.4982147476338765,444,124,LinReg,ratio,5,25,0.9251069043939439,0.08988607418357392,0.03374855549681753,0.9144307775265358,0.0011799157520138962,1.1013845311494252,0.0030723715173129385,0.9996422556489004,9.979471508024912e-07
6,4.0860124359057615,468,103,LinReg,ratio,5,25,0.9022632493945245,0.12886720089678144,0.040349216508664444,0.9750247186258416,0.0011648622032853194,1.3541082580983135,0.004374811274883164,0.9995072263917401,1.5920378038357598e-06
7,4.214839752242527,975,156,LinReg,ratio,5,25,0.9258610914003657,0.12498436511386034,0.026950849597588946,1.0172707926996714,0.0018090247673861776,1.4167482086531855,0.005247050856228171,0.9995766173771814,1.5680345597097244e-06
8,4.648449911599528,810,104,LinReg,ratio,5,25,0.9571193903515444,0.034196013563465716,0.02220080572163049,1.2477850439902551,0.005479575490201145,1.9125679146966055,0.016986062618582962,0.9994794749293167,4.622932015758338e-06
9,7.999735171241029,167,111,LinReg,ratio,5,25,0.8952170428161766,0.11829251772354696,0.042136272741589986,2.023994005104925,0.014012682480335452,5.303495579262388,0.05530798497225564,0.9984557201464072,1.6104662605818294e-05
10,9.89457361644176,119,136,LinReg,ratio,5,25,0.8480224293063127,0.14214106103474863,0.05970431238270729,2.4761816003760795,0.016819948951236917,8.35384839950632,0.10199000794728713,0.9974814445782368,3.074840183795088e-05
11,10.708415214700217,308,157,LinReg,ratio,5,25,0.89507081824147,0.12242871497054794,0.04160901718215101,2.5545641829104553,0.013171984369923184,9.099063773511912,0.04082216471801619,0.9973594253413336,1.1846710425318277e-05
12,11.115799799162195,960,177,LinReg,ratio,5,25,0.9365519253229637,0.0995942692494197,0.026174735646592364,2.8536394335494863,0.0026262527619916993,10.65368242165959,0.011468768586446196,0.9968171558671631,3.4263554479550197e-06
13,12.410354317455917,774,168,LinReg,ratio,5,25,0.9353890773632894,0.08868615449315394,0.02950734632029255,3.2405781619992657,0.006424349057686182,13.728630717223234,0.019275665647079082,0.9961067263252571,5.466345710116426e-06
14,14.40046183208643,521,158,LinReg,ratio,5,25,0.9399872180975614,0.06695537073970874,0.027554954942334724,3.7092480768575,0.007788608788774861,17.786098763441043,0.07915944497934899,0.994923978885395,2.259152046100136e-05
15,14.472527890934328,850,172,LinReg,ratio,5,25,0.9368766534437081,0.08138936546596556,0.02791353522383027,3.4756179625924277,0.005741706847245073,16.320140510236396,0.06779915169595198,0.9954179193479198,1.903544770454586e-05
16,17.0091361702007,590,168,LinReg,ratio,5,25,0.91980086199774,0.11291920350485139,0.03308381527230418,3.893517140978798,0.011690070101006683,20.88836769519174,0.046421526519254415,0.9934157550807243,1.4632579461909555e-05
17,18.738769397718826,545,105,LinReg,ratio,5,25,0.9272194633076817,0.09041627921643232,0.031183124833164058,4.7700877914904005,0.011066419372566215,29.832983101404086,0.08370903907149473,0.9919058497394736,2.2711558482298852e-05
18,18.775289439460153,905,170,LinReg,ratio,5,25,0.9314891368649811,0.10354120596312867,0.027740882169209346,4.606772580619358,0.007779607879174346,28.734477474943862,0.0681468940864191,0.9916121428837938,1.9892702451561215e-05
19,19.981306602053696,637,175,LinReg,ratio,5,25,0.9402675288511461,0.08719660058235361,0.0266036214726583,5.369248623877513,0.005532838855408584,36.40348828750512,0.11291579067806423,0.9897128859982598,3.1908414988367414e-05
20,21.07876599120777,386,192,LinReg,ratio,5,25,0.9049290696699798,0.11728952253325765,0.04065378901885722,5.121219294010378,0.02249431360758836,35.38983504763797,0.37974166815126864,0.9893725987634377,0.00011403463927573361
21,21.397848648623253,249,132,LinReg,ratio,5,25,0.914467188235441,0.09347367960175168,0.04045702840425376,5.664270476206181,0.01987219375402682,40.09480468716581,0.49415484168638285,0.9882207299931328,0.00014517549968982025
22,21.438288126148343,553,109,LinReg,ratio,5,25,0.8968964534777969,0.140059535434587,0.03855936241220498,4.872054144254742,0.020945566099784547,33.13700802447286,0.11701691909653929,0.9912103425151635,3.103897123209552e-05
23,21.787656714547666,534,163,LinReg,ratio,5,25,0.9220616053117718,0.10442409115586099,0.03173826272599685,5.468864439168299,0.003257580146398124,40.35294908332117,0.17111049990129634,0.9884706988829838,4.8888235493570306e-05
24,22.827290201326235,452,126,LinReg,ratio,5,25,0.909121104098691,0.11142720632782845,0.03995129973075997,5.195858934158482,0.03749194619929713,36.7344982737847,0.4303708081381452,0.9898681541483513,0.00011870178965305235
25,22.89676735178701,513,106,LinReg,ratio,5,25,0.924145806118233,0.11431889136226665,0.03005331402897284,5.502972713164756,0.02225230440177578,41.05556439927791,0.3364977388905145,0.9873385916275564,0.00010377485612088763
26,23.541520863733744,801,111,LinReg,ratio,5,25,0.9300536467747188,0.11429194675357324,0.027052153926089086,6.044209742744981,0.007457499749354434,49.28277857342055,0.3127106757750077,0.9839889502906529,0.00010159382890755914
27,24.40247049548472,994,133,LinReg,ratio,5,25,0.9434464591532111,0.07866996648593748,0.02822749448455658,5.875740027845955,0.016330435776743233,46.03107679686514,0.10933252851834878,0.9868424576982826,3.1251655816837295e-05
28,25.013997716295478,286,143,LinReg,ratio,5,25,0.8789621459463769,0.1422482234123455,0.046793096229211364,5.849538264505998,0.008543755759133832,48.45142606299707,0.31675760656704804,0.9846496587062548,0.00010035488660069929
29,25.448328594036564,319,132,LinReg,ratio,5,25,0.9078015820364123,0.11711404433649582,0.03747999564323749,6.439655608364383,0.03215909438684506,55.17091567890211,0.4748517415198755,0.9832524680886003,0.00014414469284092658
30,26.78056234623495,711,122,LinReg,ratio,5,25,0.9220888932436871,0.11594428767265871,0.031323640707718065,6.534780435159326,0.01475528637939209,59.29435996277232,0.1838989632681868,0.9817923662255494,5.647021026604555e-05
31,29.251506379136238,715,174,LinReg,ratio,5,25,0.9179176035877186,0.1166545815110415,0.032653137813317135,6.904988314317146,0.013921011433515599,66.53046774524226,0.0916325494109892,0.9808935711270643,2.6315323596868124e-05
32,30.244538092190634,963,126,LinReg,ratio,5,25,0.9391844687407022,0.0938399804506989,0.028718342253076595,7.242790819475831,0.012256608746236086,69.61746815338464,0.20182064643923203,0.9783507723082362,6.276098863629013e-05
33,30.964060705218813,178,165,LinReg,ratio,5,25,0.8694933123424352,0.14092437339661312,0.04815325524885382,7.512994229849599,0.029429967419015785,77.58774077520329,0.35818101426641813,0.9790846087743097,9.655515121521383e-05
34,34.423343421142754,378,191,LinReg,ratio,5,25,0.9141188246704922,0.11143337472616903,0.03521816790155043,8.482526908508657,0.008244825671805607,95.9365076830943,0.24162769115160923,0.9725433231918348,6.9152959431961e-05
35,36.1578262759781,907,134,LinReg,ratio,5,25,0.9325147086743838,0.10114486534241372,0.028375829957250912,8.965807861400716,0.017754505169556883,108.02236067235042,0.5148362819342983,0.9670979499870624,0.00015681169149836326
36,36.94968352243102,964,171,LinReg,ratio,5,25,0.9319246784418183,0.10228145928289598,0.027789768148551594,9.156429227639675,0.027495696326760802,112.55534179180772,0.7103390045553404,0.9670239476280356,0.0002081125235210379
